Nome,Email,Telefone,Empresa
João da Silva,joao.silva@email.com,11987654321,Tech Solutions Ltda
Maria Oliveira,maria.oliveira@empresa.com.br,21987654322,Inovação Digital
Pedro Santos,pedro.santos@gmail.com,11976543210,Consultoria XYZ
Ana Costa,ana.costa@yahoo.com,21965432109,Marketing Pro
Carlos Ferreira,carlos.ferreira@outlook.com,11954321098,Vendas & Cia
Juliana Souza,juliana.souza@hotmail.com,21943210987,Design Studio
Ricardo Lima,ricardo.lima@company.com,11932109876,Desenvolvimento Web
Fernanda Alves,fernanda.alves@enterprise.com.br,21921098765,Agência Criativa
Paulo Mendes,paulo.mendes@business.com,11910987654,Finanças Online
Camila Rodrigues,camila.rodrigues@startup.io,21909876543,Tech Startup
